v = 30
11 39 9
11 40 7
11 41 7
11 42 5
11 43 6
11 44 6
11 45 9
12 13 4
12 14 5
12 15 8
12 16 7
12 17 8
12 18 4
12 19 6
12 20 7
12 21 6
12 22 6
12 23 6
12 24 4
12 25 5
12 26 6
12 27 8
12 28 6
12 29 2
12 30 4
12 31 4
12 32 4
12 33 5
12 34 3
12 35 5
12 36 7
12 37 6
12 38 6
12 39 8
12 40 7
12 41 6
12 42 7
12 43 4
12 44 8
12 45 8
13 14 5
13 15 8
13 16 7
13 17 7
13 18 7
13 19 6
13 20 6
13 21 7
13 22 6
13 23 8
13 24 4
13 25 8
13 26 6
13 27 6
13 28 5
13 29 2
13 30 5
13 31 4
13 32 6
13 33 3
13 34 7
13 35 5
13 36 10
13 37 8
13 38 6
13 39 7
13 40 7
13 41 6
13 42 8
13 43 6
13 44 7
13 45 10
14 15 4
14 16 3
14 17 9
14 18 7
14 19 6
14 20 9
14 21 2
14 22 5
14 23 7
14 24 5
14 25 3
14 26 7
14 27 5
14 28 9
14 29 3
14 30 7
14 31 5
14 32 5
14 33 8
14 34 8
14 35 6
14 36 6
14 37 6
14 38 7
14 39 5
14 40 7
14 41 5
14 42 8
14 43 8
14 44 6
14 45 11
15 16 7
15 17 7
15 18 7
15 19 2
15 20 5
15 21 2
15 22 8
15 23 5
15 24 4
15 25 7
15 26 8
15 27 8
15 28 8
15 29 6
15 30 8
15 31 8
15 32 5
15 33 9
15 34 7
15 35 8
15 36 6
15 37 5
15 38 4
15 39 5
15 40 6
15 41 5
15 42 4
15 43 8
15 44 7
15 45 8
16 17 8
16 18 9
16 19 5
16 20 9
16 21 5
16 22 8
16 23 4
16 24 3
16 25 6
16 26 9
16 27 2
16 28 7
16 29 5
16 30 10
16 31 6
16 32 5
16 33 5
16 34 6
16 35 8
16 36 9
16 37 7
16 38 7
16 39 8
16 40 8
16 41 7
16 42 7
16 43 8
16 44 7
16 45 12
17 18 7
17 19 5
17 20 7
17 21 9
17 22 7
17 23 10
17 24 7
17 25 11
17 26 7
17 27 9
17 28 6
17 29 8
17 30 11
17 31 6
17 32 8
17 33 8
17 34 9
17 35 8
17 36 9
17 37 9
17 38 6
17 39 8
17 40 8
17 41 10
17 42 7
17 43 6
17 44 9
17 45 10
18 19 5
18 20 3
18 21 6
18 22 7
18 23 6
18 24 7
18 25 7
18 26 4
18 27 7
18 28 2
18 29 6
18 30 7
18 31 5
18 32 4
18 33 4
18 34 5
18 35 5
18 36 6
18 37 5
18 38 3
18 39 8
18 40 3
18 41 6
18 42 7
18 43 2
18 44 6
18 45 6
19 20 4
19 21 4
19 22 6
19 23 6
19 24 2
19 25 8
19 26 6
19 27 7
19 28 7
19 29 4
19 30 9
19 31 6
19 32 5
19 33 8
19 34 5
19 35 7
19 36 4
19 37 5
19 38 2
19 39 7
19 40 4
19 41 7
19 42 2
19 43 6
19 44 6
19 45 9
20 21 7
20 22 6
20 23 8
20 24 6
20 25 7
20 26 6
20 27 9
20 28 5
20 29 6
20 30 9
20 31 6
20 32 7
20 33 6
20 34 6
20 35 8
20 36 8
20 37 8
20 38 2
20 39 7
20 40 6
20 41 9
20 42 6
20 43 3
20 44 8
20 45 7
21 22 7
21 23 5
21 24 6
21 25 5
21 26 6
21 27 7
21 28 8
21 29 5
21 30 9
21 31 7
21 32 3
21 33 7
21 34 7
21 35 6
21 36 7
21 37 5
21 38 6
21 39 3
21 40 8
21 41 3
21 42 6
21 43 8
21 44 8
21 45 10
22 23 4
22 24 6
22 25 8
22 26 6
22 27 7
22 28 8
22 29 4
22 30 10
22 31 6
22 32 4
22 33 8
22 34 4
22 35 7
22 36 8
22 37 6
22 38 5
22 39 7
22 40 9
22 41 6
22 42 4
22 43 6
22 44 8
22 45 10
23 24 5
23 25 8
23 26 7
23 27 6
23 28 7
23 29 7
23 30 9
23 31 9
23 32 2
23 33 7
23 34 7
23 35 7
23 36 6
23 37 4
23 38 8
23 39 8
23 40 7
23 41 4
23 42 4
23 43 8
23 44 8
23 45 9
24 25 8
24 26 6
24 27 5
24 28 8
24 29 2
24 30 8
24 31 4
24 32 3
24 33 7
24 34 3
24 35 5
24 36 6
24 37 5
24 38 4
24 39 9
24 40 6
24 41 5
24 42 4
24 43 7
24 44 8
24 45 11
25 26 5
25 27 7
25 28 7
25 29 6
25 30 4
25 31 5
25 32 8
25 33 7
25 34 8
25 35 7
25 36 9
25 37 8
25 38 8
25 39 8
25 40 4
25 41 8
25 42 8
25 43 6
25 44 3
25 45 10
26 27 7
26 28 2
26 29 4
26 30 9
26 31 6
26 32 5
26 33 4
26 34 7
26 35 6
26 36 6
26 37 5
26 38 7
26 39 7
26 40 7
26 41 3
26 42 4
26 43 6
26 44 2
26 45 8
27 28 5
27 29 6
27 30 11
27 31 4
27 32 7
27 33 3
27 34 7
27 35 6
27 36 7
27 37 7
27 38 8
27 39 10
27 40 7
27 41 9
27 42 9
27 43 6
27 44 7
27 45 10
28 29 6
28 30 9
28 31 5
28 32 5
28 33 2
28 34 5
28 35 6
28 36 5
28 37 3
28 38 5
28 39 9
28 40 5
28 41 5
28 42 6
28 43 4
28 44 4
28 45 6
29 30 6
29 31 2
29 32 5
29 33 5
29 34 5
29 35 3
29 36 8
29 37 6
29 38 4
29 39 8
29 40 5
29 41 6
29 42 6
29 43 5
29 44 6
29 45 9
30 31 8
30 32 7
30 33 8
30 34 7
30 35 9
30 36 6
30 37 8
30 38 7
30 39 11
30 40 8
30 41 9
30 42 7
30 43 8
30 44 7
30 45 10
31 32 7
31 33 6
31 34 3
31 35 2
31 36 7
31 37 5
31 38 6
31 39 10
31 40 3
31 41 5
31 42 7
31 43 3
31 44 8
31 45 7
32 33 5
32 34 5
32 35 5
32 36 4
32 37 2
32 38 7
32 39 6
32 40 7
32 41 2
32 42 6
32 43 6
32 44 7
32 45 9
33 34 6
33 35 8
33 36 7
33 37 5
33 38 6
33 39 9
33 40 7
33 41 7
33 42 8
33 43 3
33 44 4
33 45 7
34 35 5
34 36 4
34 37 6
34 38 4
34 39 9
34 40 6
34 41 7
34 42 4
34 43 6
34 44 9
34 45 10
35 36 5
35 37 3
35 38 7
35 39 9
35 40 5
35 41 3
35 42 9
35 43 5
35 44 8
35 45 9
36 37 2
36 38 6
36 39 10
36 40 8
36 41 6
36 42 6
36 43 8
36 44 8
36 45 8
37 38 7
37 39 8
37 40 8
37 41 4
37 42 7
37 43 7
37 44 7
37 45 9
38 39 9
38 40 6
38 41 9
38 42 4
38 43 4
38 44 8
38 45 8
39 40 8
39 41 6
39 42 9
39 43 10
39 44 9
39 45 11
40 41 8
40 42 6
40 43 5
40 44 7
40 45 7
41 42 7
41 43 8
41 44 5
41 45 11
42 43 8
42 44 6
42 45 11
43 44 7
43 45 4
44 45 10
